"","name","category","main_category","currency","deadline","goal","launched","pledged","backers","country","usd.pledged","usd_pledged_real","usd_goal_real","class"
"5966","keep the*kickplate*project, the only gallery in town, alive!","Photography","Photography","GBP","2013-09-15",750,"2013-08-21 00:11:14",770.5,40,"GB",1204.65,1234.3,1201.46,"successful"
"14756","Stories of Rape And Sexual Violence in India","People","Photography","USD","2016-01-29",18000,"2015-12-15 05:25:12",37326,421,"US",37326,37326,18000,"successful"
"330001","INFORMTAINMENT.NET","Web","Technology","USD","2016-02-17",5000,"2016-01-18 21:09:04",0,0,"US",0,0,5000,"failed"
"215788","The Visions Project: Tarot Cards & Art Prints","Illustration","Art","USD","2013-11-01",16500,"2013-09-30 20:44:55",24950.01,420,"US",24950.01,24950.01,16500,"successful"
"5840","On Teenage Angst","Poetry","Publishing","USD","2012-07-01",1200,"2012-06-01 18:02:47",1355,30,"US",1355,1355,1200,"successful"
"28933","The Atlanta Marshmallow Co. Launch & Vegan Marshmallows!","Vegan","Food","USD","2017-11-25",768,"2017-11-09 00:09:27",320,11,"US",0,320,768,"failed"
"295125","Jobberfly - Online Speed Business Networking","Web","Technology","USD","2014-10-19",8000,"2014-09-19 18:41:32",200,6,"US",200,200,8000,"failed"
"145139","3D Meko - Sleepless Nights","Hip-Hop","Music","USD","2013-10-05",4000,"2013-09-05 22:37:41",0,0,"US",0,0,4000,"failed"
"292733","Affix Magazine","Print","Journalism","AUD","2015-07-26",3000,"2015-06-29 23:30:55",3747,24,"AU",2868.75,2714.23,2173.13,"successful"
"312883","Mall Of The Internet","Web","Technology","USD","2015-04-22",60000,"2015-03-23 19:21:56",80,4,"US",80,80,60000,"failed"
"98251","""Secrets & Lies In El Salvador"" is the novel I wrote.","Fiction","Publishing","USD","2014-08-25",1000,"2014-06-26 01:06:38",1255,57,"US",1255,1255,1000,"successful"
"285480","Spanish Handcrafted Men´s Shoes","Footwear","Fashion","EUR","2017-05-19",5000,"2017-03-20 16:03:25",1906,15,"ES",0,2130.73,5589.53,"failed"
"306194","Please contribute to BuckGet.com igg.me/at/buckget/x/4847599","Web","Technology","USD","2015-02-12",10000,"2015-01-13 07:00:50",13,4,"US",13,13,10000,"failed"
"208419","The Whiskey Priest Takes Europe","Music","Music","USD","2011-06-09",5000,"2011-04-25 15:14:28",5406,65,"US",5406,5406,5000,"successful"
"111999","Fusion on the Fringe, bringing Oakland to Scotland!","Theater","Theater","USD","2011-06-22",8000,"2011-05-08 22:57:00",688,21,"US",688,688,8000,"failed"
"72416","Loud Silence","Documentary","Film & Video","USD","2012-06-28",5000,"2012-05-29 14:18:19",331,7,"US",331,331,5000,"failed"
"26257","Books & Beads Jewelry Classes","Crafts","Crafts","USD","2012-01-23",1000,"2011-12-09 15:42:36",42,5,"US",42,42,1000,"failed"
"293080","Fan The Flame: Music Education Via Fairs & Festivals","Music","Music","USD","2016-12-09",19000,"2016-11-08 21:42:26",0,0,"US",0,0,19000,"failed"
"325237","Mount Baldy Photo Project","Photography","Photography","USD","2012-04-08",2000,"2012-03-09 04:36:40",2081,23,"US",2081,2081,2000,"successful"
"324290","Publishing ""The Devil's Handmaid""","Nonfiction","Publishing","USD","2014-08-28",15000,"2014-07-29 03:58:42",560,8,"US",560,560,15000,"failed"
"33424","John Oven: Over 'Master's (the) Past' - 7 inch","Music","Music","USD","2011-11-13",1080,"2011-10-08 05:41:01",681,22,"US",681,681,1080,"failed"
"222105","Lifespiration Planner: Realize Goals & Activate Purpose","Product Design","Design","USD","2015-03-11",9800,"2015-02-09 18:53:02",31,2,"US",31,31,9800,"failed"
"49715","12 WINDOWS into a time long gone by - (3D-Calendar 2018)","Photography","Photography","EUR","2017-10-28",17500,"2017-09-28 17:06:54",200,5,"AT",7.07,233.14,20399.84,"failed"
"186920","Meditation and Inspirational Music Virtual Recording Studio","World Music","Music","EUR","2017-01-12",2500,"2016-12-13 19:46:41",10,1,"FR",0,10.66,2665.25,"failed"
"193299","ALT ART HIST","Apparel","Fashion","USD","2014-11-28",3500,"2014-11-07 22:18:58",957,23,"US",957,957,3500,"failed"
"14388","A Flower Bucket","Design","Design","USD","2017-07-14",30000,"2017-06-14 16:44:28",133,4,"US",100,133,30000,"failed"
"313547","Kelli Rudick Second record 'We Would Love Each Other'","Music","Music","USD","2011-08-10",6000,"2011-07-11 15:58:26",6553,82,"US",6553,6553,6000,"successful"
"183484","The Culinary Wall    (Theatrically Narrated Culinary Show)","Documentary","Film & Video","USD","2015-12-02",6500,"2015-11-02 19:54:44",100,1,"US",100,100,6500,"failed"
"312395","Fashion Multi Brand","Ready-to-wear","Fashion","USD","2014-07-24",3000,"2014-06-24 23:56:16",0,0,"US",0,0,3000,"failed"
"186923","Puzzle Susan","Product Design","Design","USD","2014-02-17",3000,"2014-01-18 00:59:16",747,12,"US",747,747,3000,"failed"
"290687","Stress Reducing smart fabric Dress , Suit and Jackets","Fashion","Fashion","GBP","2015-08-08",14500,"2015-07-09 18:36:50",1448,3,"GB",2235.5,2263.91,22670.42,"failed"
"284321","Replacing Jenny Acoustic Recording Session","Rock","Music","USD","2012-05-05",5000,"2012-04-05 00:22:33",250,1,"US",250,250,5000,"failed"
"5159","IISKO 2016","Pop","Music","USD","2016-04-22",10670,"2016-03-23 21:01:19",10721,57,"US",10721,10721,10670,"successful"
"196450","making Your Wishes come true: NEW kind of goal-setting app","Apps","Technology","USD","2017-12-27",20000,"2017-11-27 02:23:19",291,6,"US",100,291,20000,"failed"
"292866","The Process To Victory","Hip-Hop","Music","USD","2016-08-21",8000,"2016-07-22 05:43:44",0,0,"US",0,0,8000,"failed"
"359353","As They Continue to Fall","Shorts","Film & Video","USD","2014-01-27",5500,"2013-12-26 15:55:17",7433.66,139,"US",7433.66,7433.66,5500,"successful"
"359908","My Gal, the Zombie: Hurts & Kisses!","Horror","Film & Video","USD","2016-05-22",3000,"2016-04-22 05:12:10",3547,52,"US",3547,3547,3000,"successful"
"177552","Worship Album","Music","Music","USD","2013-03-27",400,"2013-02-27 21:32:11",810,22,"US",810,810,400,"successful"
"330889","Transformers Prime","Animation","Film & Video","USD","2015-11-25",20000,"2015-09-26 13:18:25",441,15,"US",441,441,20000,"failed"
"217996","What The Quote!","Playing Cards","Games","USD","2017-12-14",10000,"2017-11-14 19:30:28",1972,43,"US",741,1972,10000,"failed"
"136358","Apparel for the Spirit - The Yeshua Apparel Project","Fashion","Fashion","CAD","2014-02-07",15000,"2014-01-08 04:44:07",93.71,4,"CA",88.23,84.66,13551.36,"failed"
"262470","Khaos Art Graphic Design","Art","Art","USD","2015-03-17",600,"2015-01-16 20:57:11",0,0,"US",0,0,600,"failed"
"208397","Borrowed Beams of Light LP/CD Pre-Order, Fundraiser","Indie Rock","Music","USD","2011-03-14",3000,"2011-02-02 16:46:26",3348.22,92,"US",3348.22,3348.22,3000,"successful"
"334377","Columbus Park Ramen Shop - Kansas City's First Ramen Shop","Restaurants","Food","USD","2015-04-19",37000,"2015-03-20 14:31:35",41100,349,"US",41100,41100,37000,"successful"
"305884","The Leadership Journey","Nonfiction","Publishing","AUD","2017-04-29",5000,"2017-03-30 10:41:22",11,2,"AU",7.64,8.13,3694.95,"failed"
"229204","Talento.Today","Web","Technology","EUR","2017-04-04",50000,"2017-03-05 14:28:13",401,2,"IT",424.9,426.26,53150.21,"failed"
"274291","DJ Matt Howes (Working Title)","Documentary","Film & Video","GBP","2015-02-06",1000,"2014-12-08 21:45:04",1115,13,"GB",1739.58,1707.95,1531.79,"successful"
"373800","Produce ""Stockholm""","Shorts","Film & Video","USD","2011-10-29",2250,"2011-10-16 05:18:27",2289.36,27,"US",2289.36,2289.36,2250,"successful"
"199891","Yum Yum Fun Recipes","Cookbooks","Food","USD","2015-08-05",20000,"2015-07-06 18:12:28",0,0,"US",0,0,20000,"failed"
"269182","The Iron Devil Short Film","Shorts","Film & Video","CAD","2015-08-13",1500,"2015-07-24 18:04:12",1550,21,"CA",1192.27,1188.29,1149.95,"successful"
"359425","Stovepipe Perkins","Music","Music","USD","2012-03-24",4500,"2012-02-23 22:22:25",0,0,"US",0,0,4500,"failed"
"31212","Masha-T Video Biography","Documentary","Film & Video","USD","2014-09-16",2000,"2014-08-17 14:18:24",0,0,"US",0,0,2000,"failed"
"114976","Solar Strike: shoot 'em up video game for PC and console","Video Games","Games","GBP","2017-05-18",6000,"2017-04-18 02:32:50",110,6,"GB",25.04,143.14,7807.62,"failed"
"150429","Reasons To Smile: Special Stories","Nonfiction","Publishing","USD","2015-11-06",5000,"2015-09-27 01:19:20",5146,17,"US",5146,5146,5000,"successful"
"227174","FUTURE OF CUSTOM SHIRTS USING 3D TAILORING BY CRISP CLOTHING","Apparel","Fashion","USD","2017-08-28",12000,"2017-07-19 13:04:20",12032.5,62,"US",3225,12032.5,12000,"successful"
"46393","Brand for Creative Soft Water-Based Ink Shirts/Promise&Oath","Apparel","Fashion","USD","2016-11-17",900,"2016-11-02 03:18:10",1124,17,"US",518,1124,900,"successful"
"234372","Card Game- Raiding Parties","Tabletop Games","Games","USD","2011-07-19",15000,"2011-04-20 05:43:55",15715.03,117,"US",15715.03,15715.03,15000,"successful"
"146214","Tiny Readers' Starter Kit","Crafts","Crafts","USD","2013-02-01",1999,"2012-12-28 22:03:28",2648,57,"US",2648,2648,1999,"successful"
"91317","Montreal Interceptor: 1st North American Mad Max Replica Car","Sculpture","Art","CAD","2017-07-27",12000,"2017-06-27 11:16:16",497,7,"CA",129.74,396.24,9567.09,"failed"
"145878","Kickstart A Light in The Darkness Book & Album Release","Mixed Media","Art","USD","2013-07-05",500,"2013-06-03 17:35:57",56,4,"US",56,56,500,"failed"
"333487","iOS 11 Developer Course, Swift 4 & Xcode 9","Apps","Technology","NZD","2017-08-23",3000,"2017-06-24 03:54:03",175,5,"NZ",50.74,126.28,2164.81,"failed"
"54613","The History of Skateboarding through Portraits","Photobooks","Photography","USD","2017-01-11",7500,"2016-11-12 07:40:42",401,8,"US",65,401,7500,"failed"
"335113","A Visual Life in the Roaring Forties","Painting","Art","USD","2011-01-23",2010,"2010-12-14 19:32:44",2685,28,"US",2685,2685,2010,"successful"
"235444","makeena - earn cash for shopping healthy & sustainable!","Apps","Technology","USD","2014-12-11",20000,"2014-11-11 20:00:45",20220,169,"US",20220,20220,20000,"successful"
"90755","Being street-smart doing business in China","Nonfiction","Publishing","USD","2011-08-04",16800,"2011-06-27 08:19:28",25,1,"US",25,25,16800,"failed"
"238103","Eighth Day Farm","Food","Food","USD","2012-07-27",16000,"2012-06-27 03:54:24",16440,146,"US",16440,16440,16000,"successful"
"272530","THE CHILDREN'S MUSICAL ONCE UPON A TIME SHOP","Theater","Theater","USD","2012-12-20",20000,"2012-11-20 22:15:30",1,1,"US",1,1,20000,"failed"
"173797","Mochilas y otros accesorios http://telaconirua.blogspot.com/","Textiles","Art","EUR","2016-03-09",500,"2016-02-08 16:20:31",46,3,"ES",51.33,51.01,554.5,"failed"
"361050","""Celebrate the Border"" mural for Texas Rio Grande Legal Aid","Public Art","Art","USD","2014-08-30",11000,"2014-07-31 06:00:29",1655,25,"US",1655,1655,11000,"failed"
"58274","The Gordian Knot","Fiction","Publishing","USD","2015-01-21",3000,"2014-12-22 08:25:32",4659,109,"US",4659,4659,3000,"successful"
"219103","Site Space Collections: A Mobile Artist Residency","Mixed Media","Art","USD","2013-07-11",800,"2013-06-11 21:21:50",880,28,"US",880,880,800,"successful"
"81566","Differently Abled","Nonfiction","Publishing","USD","2012-10-28",50000,"2012-09-28 17:09:55",25,1,"US",25,25,50000,"failed"
"121376","Postcards from Barbados","Crafts","Crafts","CAD","2016-04-10",20,"2016-03-21 17:54:00",116,35,"CA",89.2,90.06,15.53,"successful"
"261046","Docked: a film on the plight of Nepali sheepherders working as indentured servants.","Documentary","Film & Video","USD","2010-07-09",3000,"2010-05-19 23:17:08",550,6,"US",550,550,3000,"failed"
"113810","BoneBat ""Comedy of Horrors"" Film Festival 2014","Film & Video","Film & Video","USD","2013-12-20",3500,"2013-11-20 01:43:08",4100.59,47,"US",4100.59,4100.59,3500,"successful"
"4410","Introducing...  ""PROPOSAL""","Shorts","Film & Video","USD","2013-01-09",3500,"2012-12-10 19:16:04",150,6,"US",150,150,3500,"failed"
"10461","Hydroponic Urban Farm and Research Facility","Farms","Food","USD","2014-11-30",160000,"2014-10-31 09:31:33",100,1,"US",100,100,160000,"failed"
"2367","«Grassroots» on wax: spread your love for vinyl","Music","Music","EUR","2014-07-26",2500,"2014-06-12 10:01:40",156,7,"NL",210.99,208.96,3348.74,"failed"
"232715","I Wish I Knew to Ask","Young Adult","Publishing","USD","2015-03-07",18000,"2015-02-05 21:08:09",565,6,"US",565,565,18000,"failed"
"38344","Santa`s Sack A Christmas Game For android","Mobile Games","Games","EUR","2014-12-09",600,"2014-11-09 20:45:34",0,0,"IE",0,0,747,"failed"
"294046","Travis Patton - Blessings","Music","Music","USD","2012-02-14",1500,"2012-01-15 22:48:28",2000.04,41,"US",2000.04,2000.04,1500,"successful"
"353582","The Tennis Podcast 2017","Radio & Podcasts","Publishing","GBP","2017-01-14",10000,"2016-12-01 16:30:32",16141,472,"GB",4846.72,19817.55,12277.77,"successful"
"129581","winiweek","Apps","Technology","EUR","2017-03-20",50000,"2017-02-08 19:50:00",1,1,"FR",1.07,1.08,54024.85,"failed"
"273398","MASKS #1 & #2","Graphic Novels","Comics","USD","2016-10-05",3500,"2016-09-05 12:01:32",4137,157,"US",53,4137,3500,"successful"
"319149","SALT - Keyless entry for your phone","Wearables","Technology","USD","2014-10-12",50000,"2014-09-22 16:52:38",82290.87,3677,"US",82290.87,82290.87,50000,"successful"
"250483","""Tranzit"" A Live Action Short Film","Shorts","Film & Video","USD","2013-04-08",9350,"2013-03-03 03:25:33",1939,13,"US",1939,1939,9350,"failed"
"83004","The Bible As History - 2nd Edition (eBook and Print Format)","Nonfiction","Publishing","USD","2013-05-05",2850,"2013-04-05 23:44:30",155,14,"US",155,155,2850,"failed"
"116247","Little Shop of Horrors comes to Pinewood Preparatory School","Theater","Theater","USD","2011-12-07",1200,"2011-11-07 14:00:28",1275,28,"US",1275,1275,1200,"successful"
"5865","CAKE Comedy Tour ASHEVILLE, NC!","Music","Music","USD","2017-04-10",1000,"2017-03-20 23:11:40",1136,11,"US",0,1136,1000,"successful"
"172224","The Miracle Mile Paradox ARG","Games","Games","USD","2012-04-14",9500,"2012-03-15 21:00:23",9701,161,"US",9701,9701,9500,"successful"
"261335","Gourmet Peanut Butter Balls","Small Batch","Food","USD","2015-08-15",25,"2015-07-29 21:18:13",728,77,"US",728,728,25,"successful"
"188778","Teenage Zombie Sluts From Hell","Film & Video","Film & Video","USD","2013-07-14",5000,"2013-05-15 21:29:36",541,22,"US",541,541,5000,"failed"
"226738","Tamfest Ayr - Grand Finale - Day of the Dead Procession","Mixed Media","Art","GBP","2016-06-15",8500,"2016-05-16 14:16:08",6912,19,"GB",9925.99,9875.27,12144.07,"failed"
"126805","Kickstart Nicol's butt to Pennsic","Performance Art","Art","USD","2017-07-22",1000,"2017-06-21 00:41:21",1020,23,"US",470,1020,1000,"successful"
"145741","The Living","Video Games","Games","USD","2013-10-28",180000,"2013-09-28 16:24:53",2663,38,"US",2663,2663,180000,"failed"
"350985","UNDIGENOUS #1 (of 3) Comic Book","Comic Books","Comics","SGD","2017-06-04",3000,"2017-05-05 13:55:39",6206,184,"SG",1017.18,4483.78,2167.47,"successful"
"299315","Zenno - Smart control for your old or new home electronics","Gadgets","Technology","USD","2016-02-19",20000,"2015-12-21 20:01:12",14951,134,"US",14951,14951,20000,"failed"
"72676","'Wasteland' Kade Woodell's Album","Rock","Music","USD","2015-02-11",5000,"2015-01-12 07:53:23",1800,27,"US",1800,1800,5000,"failed"
"78759","Campaign Coins Starter Sets and Epic Treasure","Tabletop Games","Games","AUD","2015-05-08",10000,"2015-04-10 09:39:38",50843,450,"AU",39098.18,40230.26,7912.64,"successful"
"99201","Simpo Chopsticks","Product Design","Design","CAD","2017-08-07",3000,"2017-07-06 22:52:25",6116,258,"CA",665.55,4811.2,2359.97,"successful"
"55135","Wholé Guacamolé","Journalism","Journalism","USD","2013-06-22",50000,"2013-05-23 20:55:24",0,0,"US",0,0,50000,"failed"
"230432","Skin: Film Production By 14 Year Old Aniya Wolfe","Television","Film & Video","USD","2016-07-05",9000,"2016-05-26 03:07:47",9110,57,"US",9110,9110,9000,"successful"
"275976","Game of Thorns","Installations","Art","USD","2017-09-26",18000,"2017-08-25 00:56:48",18564,112,"US",2095,18564,18000,"successful"
"277724","MinneFlowta - Workshops, Stage Show, & Flow Jam","Performance Art","Art","USD","2015-01-15",3000,"2015-01-07 20:47:19",680,12,"US",680,680,3000,"failed"
"173960","Jumping into the World of Photography!","Photography","Photography","AUD","2015-02-08",2000,"2015-01-29 05:36:03",1,1,"AU",0.79,0.77,1549.55,"failed"
"330704","Mobile Race Tracks","Crafts","Crafts","USD","2015-01-06",1500,"2014-12-10 03:04:38",1,1,"US",1,1,1500,"failed"
"110884","Voules Vous","Fiction","Publishing","USD","2016-02-29",1e+06,"2016-02-09 00:12:34",0,0,"US",0,0,1e+06,"failed"
"350183","All Fiber Mode Locked Laser with Tunable Wavelength and Rate","Fabrication Tools","Technology","CAD","2016-02-04",123000,"2016-01-05 04:59:48",37,4,"CA",26.72,26.91,89448.04,"failed"
"77043","The New England Traveler Television Series Pilot","Film & Video","Film & Video","USD","2013-10-28",6000,"2013-09-28 09:05:53",6657,43,"US",6657,6657,6000,"successful"
"186107","A Visual Diary: Saba & Savta,  Two FotoFest 2014 Exhibitions","Photography","Photography","USD","2014-02-15",12000,"2014-01-15 21:25:32",12081.04,81,"US",12081.04,12081.04,12000,"successful"
"98675","Jitters Too","Food Trucks","Food","USD","2016-08-16",9000,"2016-07-22 07:05:00",241,8,"US",0,241,9000,"failed"
"121452","3 SHORT SHORTS Girl and a Gun Films","Shorts","Film & Video","USD","2012-09-25",3500,"2012-09-05 21:46:32",5285,40,"US",5285,5285,3500,"successful"
"246751","Girl In Two Worlds - Full-Color Deluxe Edition","Fiction","Publishing","USD","2014-02-13",950,"2014-01-01 13:35:15",1297,11,"US",1297,1297,950,"successful"
"206040","A Really Cool Book on How to Making a Living as a Musician","Nonfiction","Publishing","USD","2012-03-21",3500,"2012-02-20 19:53:58",330,7,"US",330,330,3500,"failed"
"340426","My Mother the Carjacker's 2nd Album! ...or of Something Else","Indie Rock","Music","CAD","2013-11-29",6000,"2013-10-29 00:26:22",6040,34,"CA",5779.6,5711.58,5673.76,"successful"
"78399","'MONTY PYTHON' IS AWESOME!","Design","Design","USD","2013-11-17",3000,"2013-10-18 23:07:38",6286,120,"US",6286,6286,3000,"successful"
"246851","Photographing America - 2014 Workshop Tour","Photography","Photography","USD","2014-02-06",7000,"2014-01-07 16:00:34",260,2,"US",260,260,7000,"failed"
"112485","''Man Down''  2014","Film & Video","Film & Video","GBP","2013-11-05",950,"2013-09-21 14:24:11",1,1,"GB",1.6,1.61,1527.63,"failed"
"114231","Day of the Dead BatCalavera Vinyl Stickers","Illustration","Art","USD","2016-11-10",250,"2016-10-27 21:29:53",1808,115,"US",627,1808,250,"successful"
"130883","STRUNG UP: Harp & Guitar Duo","Classical Music","Music","USD","2017-09-29",2800,"2017-08-30 17:15:03",4010,96,"US",40,4010,2800,"successful"
"224461","Storage Almost Full","Shorts","Film & Video","USD","2016-05-07",6300,"2016-04-19 14:40:38",6351,85,"US",6351,6351,6300,"successful"
"240450","The Museum of Hawaiian Shirts","Fashion","Fashion","USD","2010-07-25",2000,"2010-06-25 20:52:01",0,0,"US",0,0,2000,"failed"
"283247","Art Songs for Children","Classical Music","Music","USD","2013-07-04",500,"2013-06-04 21:18:47",535,12,"US",535,535,500,"successful"
"226202","The Summer of the Dog: 100 Dog Portraits in 1 Summer","Art","Art","USD","2013-08-28",2500,"2013-07-19 20:02:05",6210,48,"US",6210,6210,2500,"successful"
"54540","Skeleton Canyon","Shorts","Film & Video","USD","2011-01-05",500,"2010-12-26 18:50:21",0,0,"US",0,0,500,"failed"
"175804","What Do You Meme?","Digital Art","Art","GBP","2016-08-13",600,"2016-07-25 00:37:11",695,33,"GB",81.46,909.61,785.28,"successful"
"11991","Arch of Triumph and Disaster - Burning Man 2014","Sculpture","Art","USD","2014-05-23",7500,"2014-04-24 22:09:50",7557,122,"US",7557,7557,7500,"successful"
"262332","Onomatopoeia an Alphabet Book by Sound","Children's Books","Publishing","USD","2015-02-19",5000,"2015-01-28 16:01:33",10148,477,"US",10148,10148,5000,"successful"
"140956","Human Nature: Two College Students Bringing Natural Wonders to a Human World","Documentary","Film & Video","USD","2010-07-21",3000,"2010-06-22 05:39:55",3175,77,"US",3175,3175,3000,"successful"
"208063","Bib & Tucker Sew-Op Goes to Quiltfest 2013","Crafts","Crafts","USD","2013-03-07",2250,"2013-02-05 22:50:44",4697,87,"US",4697,4697,2250,"successful"
"341820","split.menu","Food","Food","USD","2015-12-09",50000,"2015-11-09 17:39:52",5,1,"US",5,5,50000,"failed"
"261822","Monclova Concept Album","Electronic Music","Music","USD","2015-01-16",8500,"2014-12-02 19:59:11",858,16,"US",858,858,8500,"failed"
"148152","Futurematic's New Album - ""Railways""","Electronic Music","Music","USD","2015-04-14",400,"2015-03-17 00:11:33",26,3,"US",26,26,400,"failed"
"301385","DDCC Activewear","Fashion","Fashion","USD","2013-12-13",17000,"2013-11-12 17:01:31",18111,154,"US",18111,18111,17000,"successful"
"59859","Pakpod: Tripod with Ninja Feet for SmartPhone/GoPro/DSLR","Camera Equipment","Technology","USD","2015-11-06",27000,"2015-10-06 15:17:19",123937,1058,"US",123937,123937,27000,"successful"
"37863","W.B. Givens: The Debut Record","Country & Folk","Music","USD","2011-05-04",2000,"2011-04-04 06:26:51",2166.11,40,"US",2166.11,2166.11,2000,"successful"
"39357","Principles of Scientific Management: an Audiobook","Nonfiction","Publishing","GBP","2017-11-09",2000,"2017-10-20 11:15:41",10,2,"GB",6.6,13.19,2637.55,"failed"
"243494","Go! Go! Democratic People's Republic of Korea!","Video Games","Games","USD","2016-07-18",4000,"2016-06-27 20:14:04",6830.68,301,"US",4497.81,6830.68,4000,"successful"
"155815","Midsouth Food Truck Festival","Events","Food","USD","2014-12-01",8000,"2014-10-06 23:18:14",150,2,"US",150,150,8000,"failed"
"78304","Medieval Shopkeeper Simulator","Video Games","Games","EUR","2017-06-20",1000,"2017-05-21 18:07:52",3871,188,"ES",460.65,4325.09,1117.31,"successful"
"109571","Blankets for Kids","Crafts","Crafts","USD","2015-12-13",1200,"2015-11-07 00:42:28",80,5,"US",80,80,1200,"failed"
"317737","Fortis Green: The Ultimate Luxury Sock for Men","Footwear","Fashion","AUD","2015-03-23",5000,"2015-02-23 12:00:55",17400,186,"AU",13647.54,13550.35,3893.78,"successful"
"325340","Get Lit: Rogue Candle Company","Candles","Crafts","USD","2017-12-18",5000,"2017-12-12 08:02:53",400,5,"US",305,400,5000,"failed"
"336885","Infinity Press- Opensource Literature for the Modern Reader","Fiction","Publishing","USD","2015-07-02",100,"2015-06-04 03:10:21",0,0,"US",0,0,100,"failed"
"261768","Markup: Paperless Grading for Teachers","Technology","Technology","USD","2013-03-20",7500,"2013-02-27 23:17:25",8731.91,693,"US",8731.91,8731.91,7500,"successful"
"24101","Text","Drama","Film & Video","USD","2014-07-31",55000,"2014-07-01 12:39:31",5750,64,"US",5750,5750,55000,"failed"
"345881","Family Wagon's New Record & Tour/PR Effort","Rock","Music","USD","2013-05-22",12000,"2013-03-25 18:37:35",14000,105,"US",14000,14000,12000,"successful"
"354937","Design For Alternative Clean Ocean Energy With Documentary","Civic Design","Design","USD","2015-03-09",1500,"2015-02-17 16:47:31",0,0,"US",0,0,1500,"failed"
"36971","I-PRINT-PINEAPPLES","Mixed Media","Art","EUR","2016-08-03",1000,"2016-07-04 14:44:09",226,4,"DE",54.58,252.13,1115.6,"failed"
"106900","The Devil’s Gauntlet","Webseries","Film & Video","USD","2017-09-10",40000,"2017-07-12 18:38:32",1,1,"US",0,1,40000,"failed"
"297668","Make Believe Tour","Country & Folk","Music","USD","2011-10-06",800,"2011-09-24 12:44:05",850.55,21,"US",850.55,850.55,800,"successful"
"300062","Paradox Soul","Video Games","Games","GBP","2017-04-02",2000,"2017-03-03 18:14:37",2069,63,"GB",248.11,2570.15,2484.44,"successful"
"364155","Hotel California","Horror","Film & Video","USD","2017-04-04",1,"2017-02-03 14:24:07",1,1,"US",0,1,1,"successful"
"140228","Homecoming Queen to the Rescue","Film & Video","Film & Video","USD","2010-05-01",12000,"2010-02-27 18:13:33",70,4,"US",70,70,12000,"failed"
"306743","BDSM Documentary Series - the First Episode","Documentary","Film & Video","USD","2011-09-26",5000,"2011-07-28 13:19:16",2623,16,"US",2623,2623,5000,"failed"
"316917","As Close As Possible: A short film about disabled sexuality","Shorts","Film & Video","USD","2014-06-13",15000,"2014-05-14 23:58:32",5045,41,"US",5045,5045,15000,"failed"
